,Item_Fat_Content,Item_Identifier,Item_MRP,Item_Outlet_Sales,Item_Type,Item_Visibility,Item_Weight,Outlet_Establishment_Year,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type,source
764,Regular,FDY03,-0.31722626299669265,-0.8327042742017748,Meat,-0.55330354931442,0.5534385233700507,1997,OUT046,Tier 1,Small,Supermarket Type1,train
765,Regular,FDU44,0.12789560540309286,-0.20860960930327443,Fruits and Vegetables,-0.6617049547244018,-0.09556415599880896,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
766,Low Fat,FDZ04,-0.742264803156558,-0.9469550137712944,Frozen Foods,-0.7885031244588286,-0.43376004763322396,1987,OUT013,Tier 3,High,Supermarket Type1,train
767,Regular,FDU16,-0.5679019891476343,-0.6323574415995102,Frozen Foods,-0.6626338245084722,0.7499255730872285,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
768,Low Fat,FDV07,-0.3256932135362548,-0.7510966030806895,Fruits and Vegetables,-0.829000618041739,-0.4111342661506401,2002,OUT045,Tier 2,Medium,Supermarket Type1,train
769,Low Fat,NCL19,-0.04365224891170727,-0.5445271855554421,Others,-0.9255672276248494,0.2855016373920809,1987,OUT013,Tier 3,High,Supermarket Type1,train
770,Low Fat,FDW01,0.037173427323784924,-0.6546975415689074,Canned,-0.6294791039549283,-0.01901110703840536,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
771,Regular,FDC10,-0.2443089596533763,-0.7466081811690298,Snack Foods,-0.5754518931857628,-0.01901110703840536,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
772,Low Fat,DRC12,0.3398121549212558,-0.5091298582066713,Soft Drinks,-0.7877806975482292,0.5832092884787139,2007,OUT017,Tier 2,Medium,Supermarket Type1,train
773,Low Fat,DRK39,-0.5676116645953454,-0.5843109252269711,Dairy,-0.7152285084259178,-0.7064602560285799,1987,OUT013,Tier 3,High,Supermarket Type1,train
774,Low Fat,FDG24,-0.5744028821927484,-0.8010813016423544,Baking Goods,-0.9323580701396559,-0.01901110703840536,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
775,Low Fat,FDO04,-0.8134843021005236,-0.9119657247781291,Frozen Foods,-0.8594035858735516,-0.01901110703840536,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
776,Low Fat,DRB25,-0.36244218976020215,-0.8737121289401203,Soft Drinks,-0.5944052060203269,-0.07770169693361106,2004,OUT035,Tier 2,Small,Supermarket Type1,train
777,Regular,FDK26,0.30335350324959776,-0.34815872692033034,Canned,-0.8239212354677452,-0.8922298303066388,2004,OUT035,Tier 2,Small,Supermarket Type1,train
778,Low Fat,FDM52,-0.015972943789091865,-0.7333469346118534,Frozen Foods,-0.8616359865000597,0.25573087228341773,2002,OUT045,Tier 2,Small,Supermarket Type1,train
779,Low Fat,FDY07,-0.867994010146079,-0.9135978782005507,Fruits and Vegetables,-0.27174987088854097,-0.13724322715093762,2002,OUT045,Tier 2,Small,Supermarket Type1,train
780,Low Fat,NCO06,-0.9816144761594306,-0.9374681220034682,Household,-0.35412217830850523,0.7499255730872285,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
781,Regular,FDO10,-0.7914349163661554,-0.7857798633071508,Snack Foods,-0.6159177253355185,0.0830604346531707,2002,OUT045,Tier 2,Medium,Supermarket Type1,train
782,Low Fat,FDK34,0.7739203661824532,-0.5668672855248392,Snack Foods,-0.7849865885712307,0.04733551652277468,1987,OUT013,Tier 3,High,Supermarket Type1,train
783,Regular,FDS33,-0.5274891510298881,-0.48954401713761087,Snack Foods,-0.2657006107299127,-0.01901110703840536,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
784,Regular,FDO45,-0.5127674890831178,-0.7357951647454859,Snack Foods,-0.787848988466556,0.023518904435844146,2002,OUT045,Tier 2,Medium,Supermarket Type1,train
785,Regular,FDF08,-0.5025806626870132,-0.8569825563602977,Fruits and Vegetables,-0.6205062954824458,0.16046442393569538,1997,OUT046,Tier 1,Small,Supermarket Type1,train
786,Low Fat,FDH58,-0.2878270820175348,-0.7050902784861777,Snack Foods,-0.794099654804832,-0.07770169693361106,2002,OUT045,Tier 2,Small,Supermarket Type1,train
787,Low Fat,FDS03,-0.7284141148666544,-0.9853106191982045,Meat,-0.20134987088854084,-0.6105983923786841,1998,OUT010,Tier 3,Small,Grocery Store,train
788,Low Fat,DRF03,-0.9361302963008238,-0.9490972151382229,Dairy,-0.7430863449719649,0.7320631140220306,2004,OUT035,Tier 2,Small,Supermarket Type1,train
789,Low Fat,FDE02,-0.46953969127124806,-0.7318167907783331,Canned,-0.2760536210857678,-0.505209883894016,1987,OUT013,Tier 3,High,Supermarket Type1,train
790,Low Fat,NCZ06,0.8759023830382549,-0.5775782923594817,Household,-0.44270888540828857,0.791604644239357,1987,OUT013,Tier 3,High,Supermarket Type1,train
791,Low Fat,FDW49,0.256461843543929,-0.6483729470570232,Canned,-0.6159177253355185,0.7796963381958917,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
792,Low Fat,FDR23,0.21772473836834205,-0.5725798225033152,Breads,-0.6159177253355185,0.34504316760940745,2007,OUT017,Tier 2,Medium,Supermarket Type1,train
793,Low Fat,NCJ29,-0.5430155722619509,-0.6917270223400999,Health and Hygiene,-0.806365568225112,-0.01901110703840536,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
794,Regular,FDY35,-0.8645984013473775,-0.927675201468938,Breads,-0.9231227624849434,0.5534385233700507,2002,OUT045,Tier 2,Medium,Supermarket Type1,train
795,Regular,FDZ01,-0.3938074282338081,-0.530755891053759,Canned,-0.9665024148268444,-0.01901110703840536,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
796,Low Fat,FDX19,0.713982777472173,-0.2173824339487911,Fruits and Vegetables,-0.426388815214756,0.7320631140220306,1997,OUT046,Tier 1,Small,Supermarket Type1,train
797,Low Fat,FDG44,-0.806961337598218,-0.8811588289299194,Fruits and Vegetables,-0.39022425756100565,-0.8124441798154212,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
798,Low Fat,FDQ23,-0.41134404987470197,-0.5966540854840354,Breads,-0.871025584465063,-0.7624292944328669,2004,OUT035,Tier 2,Small,Supermarket Type1,train
799,Regular,FDY22,-0.04479147566367159,-0.6084871977965928,Snack Foods,-0.03299531350417373,0.42244715689193213,2007,OUT017,Tier 2,Small,Supermarket Type1,train
800,Low Fat,NCN41,-0.20387405007843862,-0.8352545139243088,Health and Hygiene,-0.700808337021316,0.4819886871092587,1987,OUT013,Tier 3,High,Supermarket Type1,train
801,Regular,FDA47,0.11317394345632237,-0.8051616851984086,Baking Goods,-0.6159177253355185,-0.29205120571598675,2002,OUT045,Tier 2,High,Supermarket Type1,train
802,Low Fat,NCD19,-0.7948084537076653,-0.9542997041721921,Household,-0.6159177253355185,-0.47901161059839237,2002,OUT045,Tier 2,High,Supermarket Type1,train
803,Low Fat,FDO36,0.269753954186446,-0.509333877384474,Baking Goods,-0.5445927228086649,-0.01901110703840536,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
804,Regular,FDH20,-0.45796745648527315,-0.5317759869427725,Fruits and Vegetables,-0.8685185670359781,0.37481393271807106,1987,OUT013,Tier 3,High,Supermarket Type1,train
805,Low Fat,FDN12,-0.3050513076489484,-0.4909721513822298,Baking Goods,-0.5250454249133165,-0.01901110703840536,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
806,Low Fat,NCJ30,0.18921860250324296,-0.6929511374069162,Household,-0.5234581090077852,-0.8493599285501636,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
807,Low Fat,FDB09,-0.19426787278691204,-0.7189635825767622,Fruits and Vegetables,-0.6680546001008263,0.39267639178326896,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
808,Regular,FDA09,0.26466054098839376,-0.8673875344282361,Snack Foods,-0.10044756689358991,0.04733551652277468,2002,OUT045,Tier 2,Medium,Supermarket Type1,train
809,Regular,FDL24,0.19739522849051605,0.18382127920024494,Baking Goods,-0.8694564819340166,-0.01901110703840536,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
810,Regular,FDP03,-0.1990709614326751,-0.5687034581250636,Meat,-0.645394502276287,-0.9291455790413812,2004,OUT035,Tier 2,Small,Supermarket Type1,train
811,Low Fat,FDR58,-0.46301672676894245,-0.5655411608691217,Snack Foods,-0.7651363932685018,-0.01901110703840536,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
812,Low Fat,FDO13,0.14400267573973347,-0.45078037335509535,Breakfast,-0.6463590599300374,-0.6058350699612979,1987,OUT013,Tier 3,High,Supermarket Type1,train
813,Low Fat,DRD49,0.7671291485850498,-0.20167295725798218,Soft Drinks,0.011184822187929155,-0.364096457278952,2004,OUT035,Tier 2,Small,Supermarket Type1,train
814,Low Fat,NCF42,0.22905079151641106,-0.6819341018055697,Household,0.00842684440818453,0.5236677582613876,2004,OUT035,Tier 2,Small,Supermarket Type1,train
815,Low Fat,DRK35,-0.9587382596825785,-0.8946240946648985,Hard Drinks,-0.5797118463131079,-0.5462935397439713,2004,OUT035,Tier 2,Small,Supermarket Type1,train
816,Low Fat,FDR58,-0.4833903795611516,-0.8207691523003161,Snack Foods,-0.7641012233839901,-0.7475439118785352,1987,OUT013,Tier 3,High,Supermarket Type1,train
817,Regular,FDQ15,-0.5599494733410754,-0.7188615729878608,Meat,-0.09630648712926171,-0.01901110703840536,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
818,Low Fat,NCP50,-0.5817306059803462,-0.9557278384168111,Others,-0.8955222283367904,0.5236677582613876,1987,OUT013,Tier 3,High,Supermarket Type1,train
819,Low Fat,FDV45,0.3172041915395012,-0.40099969397123314,Snack Foods,-0.7446387549883973,0.4522179220005955,1997,OUT046,Tier 1,Small,Supermarket Type1,train
820,Low Fat,DRP35,-0.16515901636004315,-0.5154544527185554,Hard Drinks,-0.46164101087922793,0.7022923489133674,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
821,Regular,FDN23,-0.047069929167600444,-0.4936244006936651,Breads,-0.5571725121511009,-0.7594522179220005,2004,OUT035,Tier 2,Small,Supermarket Type1,train
822,Regular,FDS44,0.7628625661294817,-0.37906763235744145,Fruits and Vegetables,-0.05970302902025393,-0.03602262578148241,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
823,Low Fat,NCI54,-0.32341476003232617,-0.7206977455880852,Household,-0.814287548729474,0.267639178326883,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
824,Regular,FDH40,-0.5922077569287397,-0.7935325920636539,Frozen Foods,-0.5383688285299766,-0.01901110703840536,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
825,Low Fat,FDF46,-0.30310732161169185,-0.8109762317657859,Snack Foods,-0.445355544865751,-0.7005061030068471,2004,OUT035,Tier 2,Small,Supermarket Type1,train
826,Low Fat,FDA21,0.30053854355547416,-0.21105783943690692,Snack Foods,-0.7996867459679127,0.0830604346531707,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
827,Regular,FDI41,-0.03266066323031036,-0.982556360297868,Frozen Foods,-0.3508383031944985,-0.01901110703840536,1985,OUT019,Tier 1,Small,Grocery Store,train
828,Regular,FDE35,-0.7656995972807965,-0.9961236356217483,Starchy Foods,-0.5695685298995972,-0.7016969336111938,1998,OUT010,Tier 3,Small,Grocery Store,train
829,Low Fat,DRJ24,0.31666768534930645,-0.1826991737223297,Soft Drinks,-0.3247861460133229,-0.13724322715093762,1987,OUT013,Tier 3,High,Supermarket Type1,train
830,Low Fat,NCK17,-0.9129196123572996,-0.7970009180863,Health and Hygiene,-0.789809530773168,-0.01901110703840536,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
831,Low Fat,FDA15,0.8584099043117441,-0.08946240946648976,Dairy,-0.9231554086348821,-0.4349508782375706,2002,OUT045,Tier 2,Medium,Supermarket Type1,train
832,Low Fat,FDD36,-0.26720724758742,-0.6601040497806793,Baking Goods,-0.8916566274008767,-0.01901110703840536,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
833,Low Fat,DRD60,0.27227858932828064,-0.9772518616749973,Soft Drinks,-0.6206229152636298,-0.01901110703840536,1985,OUT019,Tier 1,Small,Grocery Store,train
834,Low Fat,FDA46,0.3932488505864218,-0.1710700805875751,Snack Foods,-0.29829332738125014,0.07710628163143785,1987,OUT013,Tier 3,High,Supermarket Type1,train
835,Low Fat,NCO54,-0.7795282141135085,-0.7680301948383147,Household,-0.9339408542522118,0.7796963381958917,2002,OUT045,Tier 2,High,Supermarket Type1,train
836,Regular,FDL48,-0.8657596995565335,-0.9827603794756706,Baking Goods,-0.17416434060795916,0.7618338791306938,1998,OUT010,Tier 3,High,Grocery Store,train
837,Low Fat,NCM19,-0.31467955639766654,-0.2293175558502497,Others,-0.7325638788084032,-0.01901110703840536,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
838,Regular,FDS31,0.253334487840325,-0.5351423033765172,Fruits and Vegetables,-0.6159177253355185,0.01756475141411129,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
839,Regular,FDV12,-0.4367669729505803,-0.5672753238804447,Baking Goods,-0.6472561394326792,0.44626376897886266,2004,OUT035,Tier 2,Small,Supermarket Type1,train
840,Regular,FDQ31,-0.5255010220782484,-0.7896562276854023,Fruits and Vegetables,-0.6159177253355185,-0.8535278356653765,2004,OUT035,Tier 2,Small,Supermarket Type1,train
841,Low Fat,FDK55,-0.5065569205902927,-0.9777619096195042,Meat,-0.7442818270329763,-0.01901110703840536,1985,OUT019,Tier 1,Small,Grocery Store,train
842,Low Fat,DRG15,-0.7617674822919002,-0.779863307150872,Dairy,-0.5487879131662902,-0.8124441798154212,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
843,Low Fat,NCR17,-0.27877948237339467,-0.561358767724166,Health and Hygiene,-0.8712629309648148,-0.37540934802024406,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
844,Regular,FDV01,0.04704785771040898,-0.00683464245639076,Canned,-0.6159177253355185,-0.01901110703840536,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
845,Low Fat,FDT21,0.8431296647175874,-0.8524941344486381,Snack Foods,-0.8959398429111844,-0.6588270318547186,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
846,Regular,FDT10,-0.7778745526285408,-0.8598388248495358,Snack Foods,-0.6399822484250711,0.44626376897886266,1997,OUT046,Tier 1,Small,Supermarket Type1,train
847,Low Fat,FDL56,-0.5387931327207656,-0.9917372232989901,Fruits and Vegetables,0.33399058698571893,-0.01901110703840536,1985,OUT019,Tier 1,Small,Grocery Store,train
848,Low Fat,FDS49,-0.5851041433218562,-0.8245435070896663,Canned,-0.5306907767083697,-0.47067579636796664,2007,OUT017,Tier 2,Small,Supermarket Type1,train
849,Regular,FDT32,0.3338919109807199,-0.9184943384678159,Fruits and Vegetables,-0.31443178720276477,-0.01901110703840536,1985,OUT019,Tier 1,Small,Grocery Store,train
850,Low Fat,NCX42,0.13126914274460288,-0.6775476894828113,Household,-0.9852290518100618,-0.7850550759154509,1987,OUT013,Tier 3,High,Supermarket Type1,train
851,Low Fat,FDX26,0.2974553307662531,-0.9212485973681526,Dairy,-0.11704685957060346,0.565346829413516,1998,OUT010,Tier 3,High,Grocery Store,train
852,Low Fat,FDN02,0.5048811876481334,-0.5926757115168825,Canned,-0.5678072633373484,0.42244715689193213,1987,OUT013,Tier 3,High,Supermarket Type1,train
853,Regular,FDJ40,-0.34293951062485994,-0.5366724472100377,Frozen Foods,-0.718151890491932,-0.01901110703840536,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
854,Low Fat,FDU13,-0.025869445632907606,-0.9149240028562684,Canned,1.0,-0.01901110703840536,1985,OUT019,Tier 1,Small,Grocery Store,train
855,Low Fat,DRE27,-0.44666347479439594,-0.8551463837600733,Dairy,-0.20511438698033113,-0.1312890741292052,1997,OUT046,Tier 1,Small,Supermarket Type1,train
856,Regular,FDS27,0.41105372532241313,-0.6439865347342648,Meat,-0.9453162272515615,-0.328371539148556,2004,OUT035,Tier 2,Small,Supermarket Type1,train
857,Regular,FDU44,0.1109175614095852,-0.5321840252983779,Fruits and Vegetables,-0.6640063482045618,-0.01901110703840536,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
858,Low Fat,DRM59,0.03574387601953166,-0.9344078343364275,Hard Drinks,-0.9832853621085768,-0.01901110703840536,1985,OUT019,Tier 1,Small,Grocery Store,train
859,Low Fat,FDT08,0.01201875734300395,-0.591961644394573,Fruits and Vegetables,-0.7184850080622506,0.0830604346531707,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
860,Low Fat,FDL46,-0.2643702164361048,-0.7523207181475058,Snack Foods,-0.6872816738694569,0.8809169395653469,2007,OUT017,Tier 2,Medium,Supermarket Type1,train
861,Low Fat,NCV30,-0.7388691943578565,-0.9857186575538099,Household,-0.34250765471247213,0.863054480500149,1998,OUT010,Tier 3,Medium,Grocery Store,train
862,Regular,FDP51,-0.25022920359391243,-0.6964194634295623,Meat,-0.4969445648116435,0.10687704674010123,1997,OUT046,Tier 1,Small,Supermarket Type1,train
863,Regular,FDA51,-0.3127134989032183,-0.7434458839130877,Dairy,-0.008868201637079354,-0.583804703780887,1987,OUT013,Tier 3,High,Supermarket Type1,train
864,Low Fat,FDM46,-0.46160924692188054,-0.8622870549831683,Snack Foods,-0.035038634920512846,-0.6653766001786244,2002,OUT045,Tier 2,High,Supermarket Type1,train
865,Low Fat,FDK02,-0.260996679094595,-0.674589411404672,Canned,-0.32709797616344627,-0.05388508484668053,2007,OUT017,Tier 2,High,Supermarket Type1,train
866,Regular,FDJ57,0.3036438278018867,-0.29358359685810453,Seafood,-0.8891997059876161,-0.6588270318547186,2004,OUT035,Tier 2,Small,Supermarket Type1,train
867,Low Fat,FDJ45,-0.9793580941126935,-0.8088340303988574,Seafood,-0.5721861206143474,-0.01901110703840536,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
868,Low Fat,NCB31,0.958425863673098,-0.6424563909007446,Household,-0.28716047303667847,-0.7999404584697826,2007,OUT017,Tier 2,Medium,Supermarket Type1,train
869,Regular,FDJ03,-0.8482230779156396,-0.8692237070284605,Dairy,-0.576622358025499,-0.07174754391187843,1987,OUT013,Tier 3,High,Supermarket Type1,train
870,Regular,FDT50,-0.45343262093460734,-0.858206671427114,Dairy,-0.35610231938826953,-0.7386126823459362,1987,OUT013,Tier 3,High,Supermarket Type1,train
871,Low Fat,NCY41,-0.9527738728276594,-0.8288279098235233,Health and Hygiene,-0.5549565515887829,0.4522179220005955,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
872,Regular,FDJ60,0.12079199179620925,-0.6003264306844842,Baking Goods,-0.6362217900120453,0.7618338791306938,2002,OUT045,Tier 2,Medium,Supermarket Type1,train
873,Regular,FDZ35,-0.39550523263315884,-0.7679281852494133,Breads,-0.8848347088546217,-0.3992259601071748,1997,OUT046,Tier 1,Small,Supermarket Type1,train
874,Regular,FDS21,-0.7391374474529538,-0.910231561766806,Snack Foods,-0.8929456638945865,0.8213754093480206,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
875,Low Fat,FDM52,-0.01427513938974112,-0.574824033459145,Frozen Foods,-0.8619605700145851,0.25573087228341773,1997,OUT046,Tier 1,Small,Supermarket Type1,train
876,Regular,FDQ08,-0.7312070031035864,-0.6578598388248493,Fruits and Vegetables,-0.9060146590572362,-0.01901110703840536,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
877,Low Fat,FDQ56,-0.538190412158996,-0.7094766908089359,Fruits and Vegetables,-0.371936287054604,-0.7576659720154807,2004,OUT035,Tier 2,Small,Supermarket Type1,train
878,Low Fat,FDS47,-0.5059762714857147,-0.8435172906253188,Breads,-0.22718512389697254,0.4522179220005955,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
879,Low Fat,DRM48,-0.937225380138405,-0.8280118331123125,Soft Drinks,-0.32545906185420226,0.267639178326883,2002,OUT045,Tier 2,Medium,Supermarket Type1,train
880,Regular,FDW46,-0.707481884427059,-0.8251555646230745,Snack Foods,-0.5866917680380831,0.005656445370646024,2007,OUT017,Tier 2,Medium,Supermarket Type1,train
881,Regular,FDW27,0.04280334671203212,-0.4821993267367132,Meat,-0.08937361970036906,-0.8445966061327774,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
882,Low Fat,NCQ05,0.00918172619168911,-0.9589921452616545,Health and Hygiene,-0.7993360122838682,-0.18547186662697235,1998,OUT010,Tier 3,Medium,Grocery Store,train
883,Low Fat,FDU40,0.3663743047490986,-0.9457308987044781,Frozen Foods,-0.6365213563052958,0.9404584697826737,1998,OUT010,Tier 3,Medium,Grocery Store,train
884,Low Fat,DRE12,-0.307329761152877,-0.554218096501071,Soft Drinks,-0.588301989201587,-0.01901110703840536,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
885,Regular,FDX35,0.6554747400661465,-0.3771294501683158,Breads,-0.5303846713334077,-0.9428401309913663,1987,OUT013,Tier 3,High,Supermarket Type1,train
886,Low Fat,FDD51,-0.882983925187947,-0.9357339589921452,Dairy,-0.28227415962101654,-0.2146472164334623,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
887,Low Fat,FDY27,0.2482631460994642,-0.5130062225849229,Dairy,-0.824802995539786,-0.7826734147067579,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
888,Low Fat,NCN06,0.11203471670435805,-0.6035907375293277,Household,-0.2800694669678627,-0.5433164632331049,1997,OUT046,Tier 1,Small,Supermarket Type1,train
889,Regular,FDR57,0.05466590605029564,-0.788432112618586,Snack Foods,-0.8773594239820206,-0.8666269723131884,2004,OUT035,Tier 2,Small,Supermarket Type1,train
890,Regular,FDL32,-0.3305183736392098,-0.7651739263490767,Fruits and Vegetables,-0.26676920874494436,0.32718070854420955,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
891,Regular,FDW46,-0.7057840800277081,-0.8451494440477404,Snack Foods,-0.5873769308031849,0.005656445370646024,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
892,Low Fat,NCO17,-0.23128510210595654,-0.5276956033867182,Health and Hygiene,-0.5723754399602852,-0.01901110703840536,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
893,Regular,FDR19,-0.03208001412573247,-0.8933999795980822,Fruits and Vegetables,-0.0393765274982395,0.06519797558797258,1987,OUT013,Tier 3,High,Supermarket Type1,train
894,Regular,FDJ33,-0.20302514787876325,-0.5521779047230438,Snack Foods,-0.47510589756516186,-0.4831795177136051,2007,OUT017,Tier 2,High,Supermarket Type1,train
895,Low Fat,FDB15,0.9674734633172384,-0.9243088850351933,Dairy,-0.17962205400745823,-0.2450133968442989,1997,OUT046,Tier 1,Small,Supermarket Type1,train
896,Regular,FDA52,0.24913411975633126,-0.8429052330919106,Frozen Foods,-0.22966893435904157,0.3867222387615361,2002,OUT045,Tier 2,Small,Supermarket Type1,train
897,Regular,FDZ08,-0.5511921982492242,-0.802713455064776,Fruits and Vegetables,-0.3480311714700235,-0.01901110703840536,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
898,Regular,FDR27,-0.1451198310345061,-0.5382025910435579,Meat,-0.42694174321635703,0.25573087228341773,2007,OUT017,Tier 2,Medium,Supermarket Type1,train
899,Low Fat,NCK42,0.5817526774375379,-0.7406916250127511,Household,-0.9412262779340628,-0.6522774635308127,1997,OUT046,Tier 1,Small,Supermarket Type1,train
900,Low Fat,FDZ12,-0.03601212911462892,-0.9831684178312761,Baking Goods,-0.6159177253355185,-0.01901110703840536,1985,OUT019,Tier 1,Small,Grocery Store,train
901,Regular,FDM60,-0.9132099369095885,-0.9366520452922574,Baking Goods,-0.7243690240251219,-0.25632628758559073,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
902,Low Fat,NCI31,-0.9683444369741052,-0.9153320412118738,Others,-0.5192127733757164,0.839237868413218,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
903,Regular,FDX39,0.5201172843279072,-0.03498928899316511,Meat,-0.7156626738963953,0.16046442393569538,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
904,Low Fat,NCV05,0.03715135586659324,-0.7211057839436906,Health and Hygiene,-0.8349547844358156,-0.33968442988984804,2007,OUT017,Tier 2,Medium,Supermarket Type1,train
905,Low Fat,FDX16,0.00013412654754874076,-0.6608181169029888,Frozen Foods,-0.6167965919192775,0.5832092884787139,1997,OUT046,Tier 1,Small,Supermarket Type1,train
906,Low Fat,DRK12,-0.9864175648051939,-0.9999999999999999,Soft Drinks,-0.6159177253355185,-0.4111342661506401,1998,OUT010,Tier 3,Small,Grocery Store,train
907,Low Fat,NCA05,-0.020507779339757892,-0.9368560644700601,Health and Hygiene,-0.8663977987554502,0.928550163739208,2007,OUT017,Tier 2,Small,Supermarket Type1,train
908,Low Fat,DRG51,0.13211804494427826,-0.9043150056105274,Dairy,-0.9030820471574313,-0.10151830902054182,1998,OUT010,Tier 3,Small,Grocery Store,train
909,Low Fat,NCR30,-0.6334474257889697,-0.9708252575742119,Household,-0.5831029389693405,0.9106877046740105,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
910,Low Fat,NCE31,-0.9844515073107458,-0.8937060083647862,Household,0.11613184993053749,-0.6290562667460553,1997,OUT046,Tier 1,Small,Supermarket Type1,train
911,Low Fat,FDM56,-0.3217169556329754,-0.9716413342854228,Fruits and Vegetables,-0.2652971456939116,-0.01901110703840536,1985,OUT019,Tier 1,Small,Grocery Store,train
912,Low Fat,FDP24,-0.25054159960339284,-0.5966540854840354,Baking Goods,-0.511352612438571,0.9106877046740105,1987,OUT013,Tier 3,High,Supermarket Type1,train
913,Low Fat,DRM37,0.403972183172721,-0.914515964500663,Soft Drinks,-0.028524724363390264,0.2855016373920809,1998,OUT010,Tier 3,High,Grocery Store,train
914,Regular,FDN56,-0.05441972441239007,-0.6509231867795572,Fruits and Vegetables,-0.36337299627096864,-0.8922298303066388,1987,OUT013,Tier 3,High,Supermarket Type1,train
915,Low Fat,DRE60,0.6424729539759186,0.07008058757523217,Soft Drinks,-0.03941082381192462,-0.42363798749627857,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
916,Low Fat,FDW49,0.26749757213970904,-0.867897582372743,Canned,-0.13204113402577622,-0.01901110703840536,1985,OUT019,Tier 1,Small,Grocery Store,train
917,Low Fat,FDM20,0.8041243064469028,-0.2918494338467814,Fruits and Vegetables,-0.7838094368739248,-0.3515927359333135,1997,OUT046,Tier 1,Small,Supermarket Type1,train
918,Low Fat,FDK15,-0.431963884304817,-0.9747016219524635,Meat,0.03895790312214986,-0.01901110703840536,1985,OUT019,Tier 1,Small,Grocery Store,train
919,Low Fat,FDK48,-0.6430756745376878,-0.935937978169948,Baking Goods,-0.7899364148191478,-0.6558499553438523,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
920,Regular,FDO49,-0.8437103138221652,-0.9973477506885646,Breakfast,-0.6656855560643903,-0.01901110703840536,1985,OUT019,Tier 1,Small,Grocery Store,train
921,Regular,FDC09,-0.3986105168795713,-0.9108436193002141,Fruits and Vegetables,-0.8594008212335436,0.303364096457279,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
922,Low Fat,NCZ41,-0.194558197339201,-0.8708558604508823,Health and Hygiene,-0.6256780318102928,0.8213754093480206,1987,OUT013,Tier 3,High,Supermarket Type1,train
923,Low Fat,FDP19,-0.17762429626007648,-0.6290931347546669,Fruits and Vegetables,0.0463846251534521,-0.17296814528133364,1997,OUT046,Tier 1,Small,Supermarket Type1,train
924,Low Fat,FDQ24,0.8606442149012898,-0.9665408548403549,Baking Goods,-0.2278330779325235,-0.01901110703840536,1985,OUT019,Tier 1,Small,Grocery Store,train
